home_details,graphs_and_data,map_this_home,comparables,street,zipcode,city,state,latitude,longitude,amount,amount_currency,amount_last_updated,amount_change_30days,valuation_range_low,valuation_range_high,region_name,region_id,region_type,overview_link,fsbo_link,sale_link,zillow_home_value_index,fips_county,usecode,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathrooms,bedrooms,last_sold_date,last_sold_price,complete
https://www.zillow.com/homedetails/1516-Smythe-Ave-San-Diego-CA-92173/17176376_zpid/,http://www.zillow.com/homedetails/1516-Smythe-Ave-San-Diego-CA-92173/17176376_zpid/#charts-and-data,http://www.zillow.com/homes/17176376_zpid/,http://www.zillow.com/homes/comps/17176376_zpid/,1516 Smythe Ave,92173,San Diego,CA,32.566425,-117.052829,383550,USD,11/2/2019,5607,364373,402727,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,230876,1993,,1408,2.5,3,5/21/2008,200000,TRUE
https://www.zillow.com/homedetails/1517-Smythe-Ave-San-Ysidro-CA-92173/17176320_zpid/,http://www.zillow.com/homedetails/1517-Smythe-Ave-San-Ysidro-CA-92173/17176320_zpid/#charts-and-data,http://www.zillow.com/homes/17176320_zpid/,http://www.zillow.com/homes/comps/17176320_zpid/,1517 Smythe Ave,92173,San Ysidro,CA,32.567389,-117.0527,381832,USD,11/2/2019,4393,362740,400924,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,190254,1992,,1408,2.5,3,7/30/1998,110000,TRUE
https://www.zillow.com/homedetails/1518-Smythe-Ave-San-Diego-CA-92173/17176377_zpid/,http://www.zillow.com/homedetails/1518-Smythe-Ave-San-Diego-CA-92173/17176377_zpid/#charts-and-data,http://www.zillow.com/homes/17176377_zpid/,http://www.zillow.com/homes/comps/17176377_zpid/,1518 Smythe Ave,92173,San Diego,CA,32.56635,-117.05285,376921,USD,11/2/2019,6595,339229,418382,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,350000,1993,,1408,2.5,3,7/19/2017,350000,TRUE
https://www.zillow.com/homedetails/1519-Smythe-Ave-San-Diego-CA-92173/17176321_zpid/,http://www.zillow.com/homedetails/1519-Smythe-Ave-San-Diego-CA-92173/17176321_zpid/#charts-and-data,http://www.zillow.com/homes/17176321_zpid/,http://www.zillow.com/homes/comps/17176321_zpid/,1519 Smythe Ave,92173,San Diego,CA,32.567408,-117.052609,380496,USD,11/2/2019,4267,361471,399521,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,240187,1992,,1408,2.5,3,2/6/2002,185000,TRUE
https://www.zillow.com/homedetails/1520-Smythe-Ave-San-Ysidro-CA-92173/17176371_zpid/,http://www.zillow.com/homedetails/1520-Smythe-Ave-San-Ysidro-CA-92173/17176371_zpid/#charts-and-data,http://www.zillow.com/homes/17176371_zpid/,http://www.zillow.com/homes/comps/17176371_zpid/,1520 Smythe Ave,92173,San Ysidro,CA,32.566316,-117.053236,365746,USD,11/2/2019,6455,332829,402321,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Townhouse,2018,244493,1993,,1408,2.5,3,4/23/2019,363000,TRUE
https://www.zillow.com/homedetails/1521-Smythe-Ave-San-Diego-CA-92173/17176322_zpid/,http://www.zillow.com/homedetails/1521-Smythe-Ave-San-Diego-CA-92173/17176322_zpid/#charts-and-data,http://www.zillow.com/homes/17176322_zpid/,http://www.zillow.com/homes/comps/17176322_zpid/,1521 Smythe Ave,92173,San Diego,CA,32.567414,-117.052501,309535,USD,11/2/2019,2098,294058,325012,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,200688,1992,,1034,2,2,8/26/2014,190000,TRUE
https://www.zillow.com/homedetails/1522-Smythe-Ave-San-Diego-CA-92173/17176370_zpid/,http://www.zillow.com/homedetails/1522-Smythe-Ave-San-Diego-CA-92173/17176370_zpid/#charts-and-data,http://www.zillow.com/homes/17176370_zpid/,http://www.zillow.com/homes/comps/17176370_zpid/,1522 Smythe Ave,92173,San Diego,CA,32.566234,-117.053259,381711,USD,11/2/2019,3820,362625,400797,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,153837,1993,,1408,2.5,3,12/28/1993,103000,TRUE
https://www.zillow.com/homedetails/1523-Smythe-Ave-San-Diego-CA-92173/17176323_zpid/,http://www.zillow.com/homedetails/1523-Smythe-Ave-San-Diego-CA-92173/17176323_zpid/#charts-and-data,http://www.zillow.com/homes/17176323_zpid/,http://www.zillow.com/homes/comps/17176323_zpid/,1523 Smythe Ave,92173,San Diego,CA,32.567444,-117.052387,324677,USD,11/2/2019,-2649,288963,350651,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Condominium,2018,63705,1992,2693,1034,2,2,1/26/2007,310000,TRUE
https://www.zillow.com/homedetails/1525-Smythe-Ave-San-Diego-CA-92173/17176336_zpid/,http://www.zillow.com/homedetails/1525-Smythe-Ave-San-Diego-CA-92173/17176336_zpid/#charts-and-data,http://www.zillow.com/homes/17176336_zpid/,http://www.zillow.com/homes/comps/17176336_zpid/,1525 Smythe Ave,92173,San Diego,CA,32.567092,-117.052447,311618,USD,11/2/2019,-510,289805,330315,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Townhouse,2018,222006,1990,,1100,2,2,12/27/2001,171000,TRUE
https://www.zillow.com/homedetails/1526-Smythe-Ave-San-Ysidro-CA-92173/17176378_zpid/,http://www.zillow.com/homedetails/1526-Smythe-Ave-San-Ysidro-CA-92173/17176378_zpid/#charts-and-data,http://www.zillow.com/homes/17176378_zpid/,http://www.zillow.com/homes/comps/17176378_zpid/,1526 Smythe Ave,92173,San Ysidro,CA,32.566273,-117.052872,383775,USD,11/2/2019,7230,364586,402964,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,Townhouse,2018,156215,1992,,1400,2,3,10/4/2013,145000,TRUE
